time,open,high,low,close
2024-01-02,3.0077972800,3.1463142600,2.9880091400,3.1364201900
2024-01-03,3.1166320500,3.1364201900,3.0572676300,3.1067379800
2024-01-04,3.0869498400,3.1463142600,3.0869498400,3.1067379800
2024-01-05,3.0968439100,3.1067379800,3.0275854200,3.0473735600
2024-01-08,3.0473735600,3.0473735600,2.9682210000,2.9781150700
2024-01-09,2.9781150700,3.0275854200,2.9682210000,2.9979032100
2024-01-10,3.0176913500,3.0275854200,2.9583269300,2.9880091400
2024-01-11,2.9880091400,3.0374794900,2.9682210000,3.0275854200
2024-01-12,3.0572676300,3.1166320500,3.0176913500,3.0374794900
2024-01-15,3.0275854200,3.0374794900,2.9682210000,2.9781150700
2024-01-16,2.9880091400,2.9880091400,2.9187506500,2.9781150700
2024-01-17,2.9583269300,2.9979032100,2.8989625100,2.8989625100
2024-01-18,2.8692803000,2.9187506500,2.7901277400,2.8692803000
2024-01-19,2.8593862300,2.8791743700,2.8000218100,2.8000218100
2024-01-22,2.8099158800,2.8198099500,2.6318226200,2.6615048300
2024-01-23,2.6417166900,2.6615048300,2.5823522700,2.6318226200
2024-01-24,2.6713989000,2.7010811100,2.5823522700,2.6911870400
2024-01-25,2.6911870400,2.7901277400,2.6812929700,2.7802336700
2024-01-26,2.7703396000,2.8395980900,2.7703396000,2.8099158800
2024-01-29,2.8099158800,2.8198099500,2.7109751800,2.7208692500
2024-01-30,2.7010811100,2.7505514600,2.6417166900,2.6516107600
2024-01-31,2.6417166900,2.6713989000,2.5427759900,2.5427759900
2024-02-01,2.5229878500,2.5526700600,2.4339412200,2.4735175000
2024-02-02,2.4735175000,2.5130937800,2.2954242400,2.3943649400
2024-02-05,2.3646827300,2.3646827300,2.1173309800,2.1371191200
2024-02-06,2.0876487700,2.3152123800,1.9986021400,2.2261657500
2024-02-07,2.2162716800,2.2657420300,2.1371191200,2.2063776100
2024-02-08,2.2261657500,2.4141530800,2.1865894700,2.4042590100
2024-02-19,2.4537293600,2.5031997100,2.4042590100,2.4339412200
2024-02-20,2.4240471500,2.4834115700,2.3844708700,2.4537293600
2024-02-21,2.4339412200,2.5724582000,2.4141530800,2.4834115700
2024-02-22,2.4933056400,2.5526700600,2.4834115700,2.5427759900
2024-02-23,2.5526700600,2.6021404100,2.5130937800,2.5922463400
2024-02-26,2.6219285500,2.7703396000,2.5922463400,2.6812929700
