time,open,high,low,close
2024-01-02,21.1815604000,21.4910312500,20.8927209400,20.8995980700
2024-01-03,20.8308267700,20.9408608500,20.3219191500,20.4800931400
2024-01-04,20.5282330500,20.5282330500,19.9505541300,20.0193254300
2024-01-05,20.0193254300,20.1431137700,19.5654348500,19.6548375400
2024-01-08,19.6548375400,19.6754689300,19.1734384400,19.1940698300
2024-01-09,19.1871927000,19.2765953900,18.8845989800,18.9121075000
2024-01-10,18.9189846300,19.0840357500,18.4307084000,18.8777218500
2024-01-11,18.8020734200,19.3453666900,18.6026366500,19.2559640000
2024-01-12,19.3728752100,19.5172949400,18.8158276800,18.9808788000
2024-01-15,18.9121075000,19.0496501000,18.6095137800,18.7470563800
2024-01-16,18.6782850800,18.7745649000,18.4307084000,18.6714079500
2024-01-17,18.6989164700,18.7057936000,18.2381487600,18.2381487600
2024-01-18,18.2931658000,18.3344285800,17.7086097500,18.2312716300
2024-01-19,18.2312716300,18.5063568300,17.9493093000,17.9974492100
2024-01-22,17.9286779100,18.0043263400,16.7939514600,16.9039855400
2024-01-23,17.0071424900,17.7017326200,16.8077057200,17.3303676000
2024-01-24,17.4197702900,17.5779442800,16.7114259000,17.5160501100
2024-01-25,17.5779442800,18.1693774600,17.4197702900,18.1349918100
2024-01-26,17.9493093000,18.0318348600,17.3647532500,17.3991389000
2024-01-29,17.4679102000,17.5641900200,16.7664429400,16.8833541500
2024-01-30,16.8352142400,16.9521254500,16.3263066200,16.5257433900
2024-01-31,16.3263066200,16.4157093100,15.7348734400,16.1612555000
2024-02-01,16.0237129000,16.4638492200,15.7073649200,16.1612555000
2024-02-02,16.1887640200,16.2919209700,15.2190886900,15.7898904800
2024-02-05,15.7142420500,16.3950779200,14.7514438500,15.9549416000
2024-02-06,15.8105218700,17.5298043700,15.6179622300,17.2959819500
2024-02-07,17.2615963000,18.7539335100,17.1928250000,18.4994797000
2024-02-08,18.5613738700,19.6548375400,18.2312716300,18.5476196100
2024-02-19,18.7883191600,18.9121075000,18.0249577300,18.2794115400
2024-02-20,18.3413057100,18.3963227500,17.6192070600,17.9905720800
2024-02-21,17.7842581800,18.5888823900,17.6742241000,17.9080465200
2024-02-22,17.9149236500,18.3069200600,17.8117667000,18.0318348600
2024-02-23,18.0524662500,18.1418689400,17.6192070600,17.9836949500
2024-02-26,17.8805380000,18.2656572800,17.7842581800,17.8530294800
2024-02-27,17.7842581800,18.5063568300,17.6879783600,18.4788483100
2024-02-28,18.5544967400,18.5888823900,17.1584393500,17.1859478700
2024-02-29,16.9865111000,17.9424321700,16.8902312800,17.7086097500
2024-03-01,17.7017326200,17.9080465200,17.5160501100,17.8255209600
2024-03-04,17.8117667000,18.0112034700,17.4954187200,17.5848214100
2024-03-05,17.5848214100,17.6467155800,17.0277738800,17.1997021300
2024-03-06,17.1240537000,17.3509989900,16.6495317300,17.2272106500
2024-03-07,17.1928250000,17.3097362100,16.7045487700,16.7114259000
2024-03-08,16.7733200700,17.1790707400,16.5738833000,17.1034223100
2024-03-11,17.0896680500,17.0896680500,16.7801972000,17.0002653600
2024-03-12,16.9933882300,17.2753505600,16.9177398000,17.1584393500
2024-03-13,17.2478420400,17.8599066100,17.1997021300,17.6329613200
2024-03-14,17.4747873300,17.7154868800,17.0002653600,17.1171765700
2024-03-15,17.1171765700,17.2959819500,16.8008285900,17.2753505600
2024-03-18,17.2959819500,17.7086097500,17.1240537000,17.6742241000
2024-03-19,17.7292411400,18.2862886700,17.6742241000,17.8599066100
