time,open,high,low,close
2024-01-02,5.3764180800,5.4094022400,5.3681720400,5.3681720400
2024-01-03,5.3516799600,5.4341403600,5.3516799600,5.4094022400
2024-01-04,5.3929101600,5.4341403600,5.3846641200,5.4258943200
2024-01-05,5.4094022400,5.5495849200,5.4011562000,5.4836166000
2024-01-08,5.4588784800,5.4753705600,5.3681720400,5.3764180800
2024-01-09,5.3846641200,5.4506324400,5.3186958000,5.4094022400
2024-01-10,5.4258943200,5.4423864000,5.3929101600,5.4258943200
2024-01-11,5.4258943200,5.4918626400,5.4176482800,5.4753705600
2024-01-12,5.4588784800,5.5248468000,5.4506324400,5.4588784800
2024-01-15,5.4423864000,5.5495849200,5.4258943200,5.5248468000
2024-01-16,5.5413388800,5.5660770000,5.4918626400,5.5330928400
2024-01-17,5.5248468000,5.5660770000,5.4423864000,5.4918626400
2024-01-18,5.4671245200,5.5083547200,5.3434339200,5.4588784800
2024-01-19,5.4423864000,5.5001086800,5.4176482800,5.4423864000
2024-01-22,5.4258943200,5.4506324400,5.2444814400,5.2774656000
2024-01-23,5.2692195600,5.3434339200,5.1950052000,5.3186958000
2024-01-24,5.3186958000,5.4341403600,5.3104497600,5.4341403600
2024-01-25,5.4423864000,5.5660770000,5.4258943200,5.5578309600
2024-01-26,5.5578309600,5.6155532400,5.5248468000,5.5908151200
2024-01-29,5.5990611600,5.6815215600,5.5990611600,5.6402913600
2024-01-30,5.6485374000,5.6980136400,5.5825690800,5.5908151200
2024-01-31,5.5660770000,5.6650294800,5.5001086800,5.5578309600
2024-02-01,5.5083547200,5.5825690800,5.4836166000,5.5166007600
2024-02-02,5.5166007600,5.6650294800,5.4506324400,5.5578309600
2024-02-05,5.5330928400,5.6650294800,5.4341403600,5.6073072000
2024-02-06,5.5660770000,5.8546884000,5.5578309600,5.8299502800
2024-02-07,5.8134582000,6.0938235600,5.7392438400,6.0938235600
2024-02-08,6.0938235600,6.4648953600,6.0608394000,6.1845300000
