time,open,high,low,close
2024-01-02,14.9170829600,15.1554384800,14.7482478000,14.7979052000
2024-01-03,14.8276996400,15.1057810800,14.7184533600,14.8674255600
2024-01-04,14.8475626000,15.2547532800,14.7581792800,15.0561236800
2024-01-05,15.1057810800,15.3739310400,14.5496182000,14.6390015200
2024-01-08,14.5595496800,14.6886589200,14.2715367600,14.2715367600
2024-01-09,14.3509886000,14.6390015200,14.2020164000,14.3609200800
2024-01-10,14.3509886000,14.3509886000,13.8643460800,13.9934553200
2024-01-11,14.1027016000,15.2249588400,13.9835238400,15.0958496000
2024-01-12,15.1256440400,15.4434514000,14.7979052000,15.0958496000
2024-01-15,14.8773570400,15.2150273600,14.7482478000,14.9170829600
2024-01-16,14.9270144400,15.0263292400,14.3807830400,14.6489330000
2024-01-17,14.6489330000,14.7383163200,14.0431127200,14.1027016000
2024-01-18,14.1027016000,14.1821534400,13.4174294800,13.8047572000
2024-01-19,13.8842090400,13.8842090400,13.4174294800,13.5465387200
2024-01-22,13.5465387200,13.5465387200,12.1561315200,12.3448296400
2024-01-23,12.3448296400,12.5136648000,11.9475704400,12.1064741200
2024-01-24,12.1164056000,12.2852407600,11.4013390400,12.0965426400
2024-01-25,12.2951722400,13.1890054400,11.9773648800,13.0400332400
2024-01-26,13.2287313600,13.7253053600,12.9705128800,13.3777035600
2024-01-29,13.5068128000,13.5068128000,12.4938018400,12.5335277600
2024-01-30,12.5335277600,12.6129796000,12.0071593200,12.0468852400
2024-01-31,12.2753092800,12.2753092800,11.2225724000,11.2722298000
2024-02-01,11.2027094400,11.3318186800,10.7259984000,10.9047650400
2024-02-02,10.8849020800,11.1530520400,9.6335356000,10.0705207200
2024-02-05,9.9811374000,9.9811374000,8.0544302800,8.0643617600
2024-02-06,8.0444988000,9.0475782800,6.9818304400,8.5212098400
2024-02-07,8.5013468800,8.6602505600,7.6075136800,7.7962118000
2024-02-08,7.8061432800,9.2958652800,7.4287470400,9.2164134400
2024-02-19,9.3355912000,10.0605892400,9.3355912000,9.8222337200
2024-02-20,9.9712059200,9.9712059200,9.5342208000,9.7427818800
2024-02-21,9.6533985600,10.7557928400,9.5938096800,10.2790818000
2024-02-22,10.1400410800,10.4975743600,10.0407262800,10.4777114000
2024-02-23,10.5273688000,11.3020242400,10.5174373200,11.1530520400
2024-02-26,11.2126409200,12.3150352000,11.0239428000,11.8681186000
2024-02-27,11.7688038000,12.0667482000,11.6694890000,11.9972278400
2024-02-28,12.0468852400,12.3150352000,10.7160669200,10.7259984000
2024-02-29,10.5770262000,11.2424353600,10.5770262000,10.9742854000
2024-03-01,10.9345594800,11.2225724000,10.8451761600,11.1331890800
2024-03-04,11.2722298000,11.3318186800,10.9742854000,11.2325038800
2024-03-05,11.1927779600,11.2225724000,10.7855872800,10.8650391200
2024-03-06,10.7756558000,11.1133261200,10.7657243200,10.9444909600
2024-03-07,10.9842168800,11.1629835200,10.6664095200,10.7359298800
2024-03-08,10.7756558000,10.9146965200,10.4777114000,10.7657243200
2024-03-11,10.7359298800,10.8352446800,10.5373002800,10.8352446800
2024-03-12,10.8352446800,12.4640074000,10.8352446800,11.9575019200
2024-03-13,11.8780500800,11.9078445200,11.3516816400,11.4907223600
2024-03-14,11.5403797600,11.5403797600,11.0438057600,11.2821612800
2024-03-15,11.2722298000,11.9078445200,11.1927779600,11.7489408400
2024-03-18,11.8283926800,12.0170908000,11.6396945600,11.9376389600
2024-03-19,11.9177760000,12.3646926000,11.8383241600,12.1362685600
2024-03-20,11.9674334000,12.5831851600,11.9674334000,12.5732536800
2024-03-21,12.7122944000,13.0797591600,12.4938018400,12.8711980800
2024-03-22,12.8116092000,12.8612666000,12.2554463200,12.5335277600
2024-03-25,12.5136648000,12.6030481200,11.8581871200,11.8681186000
2024-03-26,11.8581871200,12.1958574400,11.6396945600,11.9078445200
2024-03-27,11.9177760000,11.9277074800,11.3715446000,11.3715446000
2024-03-28,11.4013390400,11.9277074800,11.3516816400,11.6198316000
2024-03-29,12.0170908000,12.0170908000,11.4609279200,11.7390093600
2024-04-01,11.8581871200,12.1759944800,11.7191464000,12.1462000400
2024-04-02,12.0866111600,12.2951722400,11.8879815600,11.9773648800
2024-04-03,11.9674334000,12.0270222800,11.7489408400,11.8879815600
2024-04-08,11.8681186000,11.8681186000,11.2722298000,11.3417501600
2024-04-09,11.5205168000,11.5205168000,10.9842168800,11.1828464800
2024-04-10,11.1927779600,11.2027094400,10.7458613600,10.8749706000
2024-04-11,10.9544224400,11.2622983200,10.6962039600,10.9742854000
2024-04-12,10.9643539200,11.2027094400,10.8451761600,10.8849020800
2024-04-15,10.7359298800,10.8948335600,9.9414114800,10.1201781200
2024-04-16,10.1599040400,10.1599040400,8.9383320000,8.9383320000
2024-04-17,9.1170986400,9.8222337200,9.1170986400,9.7924392800
2024-04-18,9.7825078000,9.8818226000,9.4547689600,9.5242893200
2024-04-19,9.4944948800,9.5739467200,9.1667560400,9.3157282400
2024-04-22,9.1866190000,9.4150430400,8.7595653600,9.2859338000
2024-04-23,9.2859338000,9.7825078000,9.2859338000,9.6037411600
2024-04-24,9.6434670800,10.1003151600,9.4150430400,10.0903836800
2024-04-25,10.0307948000,10.0804522000,9.7129874400,9.8123022400
2024-04-26,9.9513429600,10.4280540000,9.7030559600,10.2492873600
2024-04-29,10.3585336400,10.8948335600,10.2790818000,10.7657243200
2024-04-30,10.9246280000,10.9246280000,10.4876428800,10.7557928400
2024-05-06,10.8650391200,11.4212020000,10.8650391200,11.0040798400
2024-05-07,11.0239428000,11.1133261200,10.8253132000,10.8749706000
2024-05-08,10.9246280000,10.9246280000,10.4876428800,10.5571632400
2024-05-09,10.7756558000,10.9246280000,10.5571632400,10.5869576800
2024-05-10,10.7160669200,10.7160669200,10.2592188400,10.3287392000
2024-05-13,10.4777114000,10.4975743600,9.8619596400,9.9612744400
2024-05-14,10.0506577600,10.3486021600,9.9414114800,10.1896984800
2024-05-15,10.1797670000,10.4975743600,9.9910688800,10.2294244000
2024-05-16,10.2890132800,10.5174373200,10.2790818000,10.3783966000
2024-05-17,10.3883280800,10.7557928400,10.2790818000,10.7557928400
2024-05-20,10.8253132000,11.2225724000,10.5273688000,11.1729150000
2024-05-21,11.1033946400,11.1033946400,10.5571632400,10.8153817200
2024-05-22,10.7259984000,10.8749706000,10.5770262000,10.7259984000
2024-05-23,10.8650391200,10.8650391200,10.4081910400,10.4479169600
2024-05-24,10.5670947200,10.5670947200,10.2790818000,10.4578484400
2024-05-27,10.4379854800,10.8153817200,10.3883280800,10.7557928400
2024-05-28,10.7756558000,10.9146965200,10.6465465600,10.7955187600
2024-05-29,10.8551076400,11.4212020000,10.6564780400,10.6962039600
2024-05-30,10.5968891600,10.6862724800,10.3783966000,10.4479169600
2024-05-31,10.4379854800,10.7955187600,10.4181225200,10.7458613600
2024-06-03,10.8749706000,10.9047650400,10.5571632400,10.6564780400
2024-06-04,10.5869576800,10.5869576800,10.0208633200,10.1996299600
2024-06-05,10.2691503200,10.2691503200,9.8321652000,9.8818226000
2024-06-06,10.0605892400,10.0605892400,9.0277153200,9.0277153200
2024-06-07,9.2859338000,9.6136726400,9.1866190000,9.5441522800
2024-06-11,9.5242893200,9.7129874400,9.2462078800,9.6633300400
2024-06-12,9.9016855600,9.9016855600,9.6931244800,9.7924392800
2024-06-13,9.7328504000,10.1003151600,9.7328504000,9.9712059200
2024-06-14,9.9712059200,10.0605892400,9.7328504000,9.9811374000
2024-06-17,10.1797670000,10.2095614400,9.7427818800,9.7825078000
2024-06-18,9.7825078000,10.1201781200,9.6633300400,10.1102466400
2024-06-19,10.2194929200,10.3386706800,10.0804522000,10.2393558800
2024-06-20,10.2492873600,10.2592188400,9.8420966800,9.8917540800
2024-06-21,9.8718911200,9.8718911200,9.6335356000,9.7328504000
2024-06-24,9.6831930000,9.6831930000,9.0475782800,9.0873042000
2024-06-25,9.1670088000,9.3563274600,9.0474391200,9.1171881000
2024-06-26,9.1670088000,9.5057895600,8.9876542800,9.4758971400
2024-06-27,9.4360405800,9.7150365000,9.3363991800,9.3762557400
2024-06-28,9.3065067600,9.6153951000,9.3065067600,9.4161123000
2024-07-01,9.4061481600,9.5356819800,9.1072239600,9.4758971400
2024-07-02,9.5257178400,9.8445703200,9.4161123000,9.7250006400
2024-07-03,9.7847854800,9.7947496200,9.5655744000,9.6552516600
2024-07-04,9.6652158000,9.7150365000,9.2666502000,9.3164709000
2024-07-05,9.3662916000,9.6253592400,9.1171881000,9.5456461200
2024-07-08,9.5456461200,9.5456461200,9.2666502000,9.3065067600
2024-07-09,9.3065067600,9.4858612800,9.2168295000,9.4559688600
2024-07-10,9.4659330000,9.6951082200,9.4260764400,9.5257178400
2024-07-11,9.5655744000,9.7250006400,9.5655744000,9.6353233800
2024-07-12,9.6452875200,9.6652158000,9.3264350400,9.3961840200
2024-07-15,9.3961840200,9.4161123000,9.0673674000,9.1470805200
2024-07-16,9.1072239600,9.5456461200,9.0673674000,9.4758971400
2024-07-17,9.4161123000,9.5456461200,9.1271522400,9.1570446600
2024-07-18,9.0673674000,9.1171881000,8.6688018000,8.8381921800
2024-07-19,8.9776901400,9.2267936400,8.8481563200,9.0972598200
2024-07-22,9.2666502000,10.9206974400,9.2666502000,10.9206974400
2024-07-23,10.9206974400,13.1028441000,10.2531000600,13.1028441000
2024-07-24,13.2024855000,13.4316607200,11.7576852000,11.8373983200
2024-07-25,11.3790478800,11.6381155200,10.6417015200,10.9107333000
2024-07-26,10.8110919000,10.8409843200,10.1534586600,10.3228490400
2024-07-29,10.2630642000,10.5121677000,10.1335303800,10.4025621600
2024-07-30,10.1634228000,10.3627056000,9.9641400000,10.2431359200
2024-07-31,10.1634228000,10.4125263000,10.0039965600,10.4125263000
2024-08-01,10.4623470000,10.6217732400,10.2630642000,10.2730283400
2024-08-02,10.1434945200,10.5918808200,10.1136021000,10.5819166800
2024-08-05,10.4623470000,11.3491554600,10.3427773200,11.0601954000
2024-08-06,10.9107333000,11.9370397200,10.6715939400,11.6580438000
2024-08-07,11.4089403000,11.4587610000,11.1199802400,11.1797650800
