time,open,high,low,close
2024-01-02,4.9787203200,5.2012329600,4.9694489600,5.0528912000
2024-01-03,5.0621625600,5.0714339200,4.9879916800,5.0065344000
2024-01-04,4.9879916800,5.0250771200,4.9601776000,5.0158057600
2024-01-05,4.9972630400,5.0621625600,4.9323635200,4.9509062400
2024-01-08,4.9601776000,4.9601776000,4.8396499200,4.8489212800
2024-01-09,4.8303785600,4.8952780800,4.8025644800,4.8303785600
2024-01-10,4.8025644800,4.8860067200,4.7747504000,4.8211072000
2024-01-11,4.8118358400,4.9323635200,4.7932931200,4.9138208000
2024-01-12,4.9045494400,4.9601776000,4.8767353600,4.8860067200
2024-01-15,4.8674640000,4.9416348800,4.8489212800,4.9138208000
2024-01-16,4.9045494400,4.9323635200,4.8211072000,4.8767353600
2024-01-17,4.8674640000,4.8860067200,4.7654790400,4.7840217600
2024-01-18,4.7654790400,4.7654790400,4.5522377600,4.6727654400
2024-01-19,4.6820368000,4.7932931200,4.6356800000,4.6913081600
2024-01-22,4.6913081600,4.7098508800,4.3760819200,4.4038960000
2024-01-23,4.4038960000,4.5707804800,4.3297251200,4.5244236800
2024-01-24,4.5429664000,4.5893232000,4.3668105600,4.5522377600
2024-01-25,4.5336950400,4.6542227200,4.5244236800,4.6449513600
2024-01-26,4.6542227200,4.7747504000,4.6171372800,4.6820368000
2024-01-29,4.7191222400,4.7376649600,4.5707804800,4.5893232000
2024-01-30,4.5800518400,4.5985945600,4.4038960000,4.4131673600
2024-01-31,4.4131673600,4.4317100800,4.1721120000,4.2277401600
2024-02-01,4.2184688000,4.2648256000,4.0886697600,4.1257552000
2024-02-02,4.1257552000,4.2091974400,3.8012576000,3.9310566400
2024-02-05,3.8939712000,3.9125139200,3.5416595200,3.5880163200
2024-02-06,3.6158304000,3.9403280000,3.5787449600,3.8939712000
2024-02-07,3.9032425600,4.1535692800,3.8754284800,4.1072124800
2024-02-08,4.0793984000,4.3204537600,4.0793984000,4.2370115200
2024-02-19,4.3111824000,4.3297251200,4.1906547200,4.2370115200
2024-02-20,4.2370115200,4.2370115200,4.1350265600,4.2370115200
2024-02-21,4.2091974400,4.4131673600,4.1535692800,4.2833683200
2024-02-22,4.3111824000,4.3760819200,4.2740969600,4.3297251200
2024-02-23,4.3297251200,4.3853532800,4.2648256000,4.3853532800
2024-02-26,4.3760819200,4.5058809600,4.3389964800,4.4317100800
2024-02-27,4.4409814400,4.5151523200,4.3946246400,4.5151523200
2024-02-28,4.4966096000,4.6634940800,4.3575392000,4.3668105600
2024-02-29,4.3297251200,4.4873382400,4.3204537600,4.4873382400
2024-03-01,4.4595241600,4.5058809600,4.4224387200,4.4687955200
2024-03-04,4.4780668800,4.4780668800,4.3482678400,4.3946246400
2024-03-05,4.3668105600,4.3760819200,4.2648256000,4.3111824000
2024-03-06,4.2833683200,4.3853532800,4.2648256000,4.3204537600
2024-03-07,4.3111824000,4.3946246400,4.2926396800,4.3019110400
2024-03-08,4.2926396800,4.3389964800,4.2462828800,4.2926396800
2024-03-11,4.2833683200,4.3853532800,4.2833683200,4.3853532800
2024-03-12,4.3946246400,4.4409814400,4.3760819200,4.4317100800
2024-03-13,4.4224387200,4.4409814400,4.3668105600,4.4038960000
2024-03-14,4.3853532800,4.4502528000,4.3482678400,4.3946246400
2024-03-15,4.3668105600,4.4687955200,4.3482678400,4.4687955200
2024-03-18,4.2555542400,4.3482678400,4.1906547200,4.3389964800
2024-03-19,4.3482678400,4.4780668800,4.3297251200,4.3760819200
2024-03-20,4.3668105600,4.3946246400,4.2833683200,4.3853532800
2024-03-21,4.3946246400,4.4502528000,4.3204537600,4.4409814400
2024-03-22,4.4317100800,4.4409814400,4.3111824000,4.3297251200
2024-03-25,4.2833683200,4.3297251200,4.1999260800,4.2091974400
2024-03-26,4.1906547200,4.2462828800,4.1072124800,4.1906547200
2024-03-27,4.1721120000,4.2091974400,4.0608556800,4.0701270400
2024-03-28,4.0515843200,4.1906547200,4.0515843200,4.1442979200
2024-03-29,4.1350265600,4.1999260800,4.1164838400,4.1906547200
2024-04-01,4.1906547200,4.2740969600,4.1628406400,4.2555542400
2024-04-02,4.2833683200,4.3297251200,4.2370115200,4.3204537600
2024-04-03,4.3111824000,4.3389964800,4.2740969600,4.2926396800
2024-04-08,4.3019110400,4.3482678400,4.2184688000,4.2277401600
2024-04-09,4.2184688000,4.3204537600,4.2091974400,4.3111824000
2024-04-10,4.3111824000,4.3111824000,4.1813833600,4.2091974400
2024-04-11,4.1999260800,4.2833683200,4.1813833600,4.2277401600
2024-04-12,4.2370115200,4.2462828800,4.0979411200,4.1072124800
2024-04-15,4.0979411200,4.1164838400,3.8939712000,3.9681420800
2024-04-16,3.9495993600,3.9588707200,3.7549008000,3.7641721600
2024-04-17,3.8105289600,3.9959561600,3.8012576000,3.9866848000
2024-04-18,3.9774134400,4.0144988800,3.9217852800,3.9495993600
2024-04-19,3.9495993600,3.9959561600,3.9032425600,3.9310566400
2024-04-22,3.9495993600,4.0237702400,3.8939712000,3.9032425600
2024-04-23,3.9217852800,3.9588707200,3.8939712000,3.9125139200
2024-04-24,3.9032425600,4.0237702400,3.9032425600,4.0144988800
2024-04-25,4.0052275200,4.0701270400,3.9774134400,4.0144988800
