time,open,high,low,close
2024-01-02,2.8556126000,3.1411738600,2.8457656600,3.1411738600
2024-01-03,3.0623983400,3.0919391600,3.0131636400,3.0427044600
2024-01-04,3.0427044600,3.0623983400,3.0131636400,3.0328575200
2024-01-05,3.0525514000,3.0722452800,2.9540820000,2.9737758800
2024-01-08,2.9639289400,2.9934697600,2.9146942400,2.9245411800
2024-01-09,2.9343881200,2.9836228200,2.9245411800,2.9737758800
2024-01-10,2.9540820000,3.0131636400,2.9048473000,3.0033167000
2024-01-11,2.9934697600,3.0427044600,2.9442350600,3.0328575200
2024-01-12,3.0131636400,3.0328575200,2.9737758800,2.9836228200
2024-01-15,2.9639289400,2.9934697600,2.9540820000,2.9639289400
2024-01-16,2.9442350600,2.9836228200,2.9048473000,2.9836228200
2024-01-17,2.9737758800,3.0328575200,2.9442350600,2.9540820000
2024-01-18,2.9245411800,2.9737758800,2.8556126000,2.9540820000
2024-01-19,2.9146942400,2.9540820000,2.8359187200,2.8457656600
2024-01-22,2.8260717800,2.8359187200,2.7079085000,2.7472962600
2024-01-23,2.7276023800,2.7374493200,2.6389799200,2.7079085000
2024-01-24,2.6980615600,2.7768370800,2.6586738000,2.7472962600
2024-01-25,2.7472962600,2.8457656600,2.7276023800,2.8359187200
2024-01-26,2.8359187200,2.8753064800,2.8162248400,2.8359187200
2024-01-29,2.8753064800,2.8753064800,2.7472962600,2.7472962600
2024-01-30,2.7079085000,2.8063779000,2.7079085000,2.7177554400
2024-01-31,2.7276023800,2.7669901400,2.6488268600,2.7079085000
2024-02-01,2.7079085000,2.7965309600,2.6685207400,2.7276023800
2024-02-02,2.7177554400,2.7472962600,2.4518880600,2.4912758200
2024-02-05,2.4814288800,2.4912758200,2.2549492600,2.2844900800
2024-02-06,2.2451023200,2.5109697000,2.1860206800,2.4518880600
2024-02-07,2.4223472400,2.4814288800,2.3534186600,2.3829594800
2024-02-08,2.3731125400,2.5306635800,2.3731125400,2.5109697000
2024-02-19,2.5208166400,2.5897452200,2.5109697000,2.5602044000
2024-02-20,2.5405105200,2.5602044000,2.5011227600,2.5405105200
2024-02-21,2.5208166400,2.6094391000,2.5109697000,2.5700513400
2024-02-22,2.5602044000,2.5897452200,2.5405105200,2.5897452200
2024-02-23,2.5798982800,2.6488268600,2.5700513400,2.6389799200
2024-02-26,2.6488268600,2.6980615600,2.6291329800,2.6488268600
2024-02-27,2.6389799200,2.6980615600,2.6094391000,2.6980615600
2024-02-28,2.6882146200,2.7374493200,2.5602044000,2.5700513400
2024-02-29,2.5405105200,2.6291329800,2.5109697000,2.6291329800
2024-03-01,2.6192860400,2.7669901400,2.6094391000,2.7079085000
2024-03-04,2.6783676800,2.7177554400,2.6389799200,2.6980615600
2024-03-05,2.6980615600,2.7079085000,2.6291329800,2.6291329800
2024-03-06,2.6192860400,2.6882146200,2.6094391000,2.6685207400
2024-03-07,2.6685207400,2.7177554400,2.6586738000,2.6685207400
2024-03-08,2.6586738000,2.6882146200,2.6488268600,2.6783676800
2024-03-11,2.6783676800,2.7472962600,2.6783676800,2.7374493200
2024-03-12,2.7374493200,2.8063779000,2.6980615600,2.7965309600
2024-03-13,2.7866840200,2.7965309600,2.7472962600,2.7669901400
2024-03-14,2.7571432000,2.7768370800,2.7177554400,2.7374493200
2024-03-15,2.7374493200,2.7866840200,2.7374493200,2.7866840200
2024-03-18,2.7866840200,2.8162248400,2.7768370800,2.8162248400
2024-03-19,2.8063779000,2.8359187200,2.7866840200,2.7965309600
2024-03-20,2.7965309600,2.8162248400,2.7768370800,2.7965309600
2024-03-21,2.7965309600,2.8556126000,2.7669901400,2.8556126000
2024-03-22,2.8556126000,2.8556126000,2.7768370800,2.7866840200
2024-03-25,2.7768370800,2.7965309600,2.6980615600,2.7079085000
2024-03-26,2.7079085000,2.7571432000,2.6783676800,2.7374493200
2024-03-27,2.7472962600,2.7472962600,2.6389799200,2.6389799200
2024-03-28,2.6389799200,2.7472962600,2.6389799200,2.7079085000
2024-03-29,2.7079085000,2.7669901400,2.6980615600,2.7571432000
2024-04-01,2.7571432000,2.8063779000,2.7571432000,2.8063779000
