time,open,high,low,close
2024-01-02,49.2533500000,50.0118515900,47.8742562000,48.2978350100
2024-01-03,48.2781336700,48.3470883600,45.8450181800,46.6921758000
2024-01-04,46.7512798200,47.2832160000,45.3820366900,46.8891892000
2024-01-05,47.4211253800,48.2682830000,46.2094929700,46.6330717800
2024-01-08,47.1748586300,47.1748586300,45.5100954000,45.9533755500
2024-01-09,45.9730768900,47.8742562000,44.9781592200,45.4706927200
2024-01-10,45.3032313300,47.1256052800,43.9339882000,46.8891892000
2024-01-11,47.2930666700,48.7411151600,45.4805433900,47.7757495000
2024-01-12,50.0611049400,50.5634891100,45.8844208600,45.9238235400
2024-01-15,45.8351675100,46.2685969900,44.9092045300,45.2244259700
2024-01-16,45.8056155000,47.4408267200,44.9781592200,45.5100954000
2024-01-17,45.8844208600,45.8844208600,43.2542919700,43.2542919700
2024-01-18,43.3823506800,44.3280150000,42.1805689400,43.6877214500
2024-01-19,43.4710067100,44.1704042800,41.8948995100,42.2199716200
2024-01-22,42.1805689400,42.4071343500,38.5850743900,39.1071599000
2024-01-23,38.4668663500,39.8952135000,38.2304502700,39.4026800000
2024-01-24,39.4026800000,40.1808829300,37.8955274900,39.4913360300
2024-01-25,39.4519333500,39.8361094800,37.5901567200,38.5358210400
2024-01-26,38.4176130000,38.8510424800,36.2504656000,36.6937457500
2024-01-29,36.8710578100,37.0385192000,35.5116653500,35.7579321000
2024-01-30,36.3292709600,37.6591114100,35.4722626700,35.6692760700
2024-01-31,35.5510680300,37.6098580600,35.2161452500,36.0436015300
2024-02-01,34.9698785000,38.5949250600,34.9698785000,36.7035964200
2024-02-02,36.2603162700,37.2256819300,34.0833182000,35.4624120000
2024-02-05,34.4773450000,35.3639053000,32.6943737300,33.5021286700
2024-02-06,32.8815364600,36.5656870400,31.9457228100,35.4624120000
2024-02-07,35.1274892200,36.8415058000,32.0146775000,33.7877981000
2024-02-08,33.3642192900,40.4172990100,32.1821388900,39.5504400500
2024-02-19,41.1265472500,41.3531126600,37.6886634200,38.0038848600
2024-02-20,37.9940341900,45.5987514300,36.4277776600,45.4805433900
2024-02-21,43.3429480000,45.9533755500,41.1462485900,43.8551828400
2024-02-22,42.6336997600,45.8942715300,42.2101209500,44.8008471600
2024-02-23,44.7909964900,47.4802294000,43.8354815000,46.3572530200
2024-02-26,48.0712696000,51.2234840000,44.9486072100,46.2981490000
2024-02-27,45.6381541100,46.5345650800,43.3133959900,45.8351675100
2024-02-28,45.2539779800,47.0862026000,41.5993794100,41.8850488400
2024-02-29,40.7423711200,45.1948739600,40.7423711200,44.9486072100
2024-03-01,45.0077112300,45.7662128200,44.0817482500,44.8993538600
2024-03-04,46.2882983300,48.7312644900,45.3130820000,48.6918618100
2024-03-05,47.5787361000,49.4503634000,46.6921758000,48.0614189300
2024-03-06,47.8447041900,50.8885612200,46.9876959000,49.2434993300
2024-03-07,49.8246888600,50.1596116400,46.4853117300,47.0862026000
2024-03-08,46.9876959000,48.8691738700,46.2488956500,48.5736537700
2024-03-11,48.0712696000,48.8100698500,46.9876959000,48.2584323300
2024-03-12,48.1106722800,49.4306620600,46.9876959000,47.3127680100
2024-03-13,48.2091789800,50.7210998300,47.4999307400,48.6918618100
2024-03-14,48.7017124800,49.8640915400,46.3671036900,48.7805178400
2024-03-15,47.9629122300,50.0414036000,47.3817227000,49.5981234500
2024-03-18,50.1300596300,50.1300596300,48.4160430500,49.3026033500
2024-03-19,49.0169339200,49.0366352600,45.5593487500,46.5936691000
2024-03-20,44.2689109800,45.5494980800,43.0080252200,45.1653219500
2024-03-21,44.4462230400,45.7957648300,43.7566761400,45.1554712800
2024-03-22,44.8698018500,45.0077112300,43.7960788200,44.0324949000
2024-03-25,43.4020520200,44.0127935600,41.7865421400,41.8160941500
2024-03-26,41.9638542000,42.8504145000,41.0772939000,42.0820622400
2024-03-27,42.0919129100,44.4560737100,41.0969952400,42.8898171800
2024-03-28,42.8208624900,47.1650079600,42.4563877000,46.1996423000
2024-03-29,46.0026289000,46.5444157500,44.3378656700,45.4017380300
2024-04-01,45.0175619000,45.7662128200,44.1507029400,44.5939830900
2024-04-02,44.5151777300,44.5151777300,42.1608676000,42.8405638300
2024-04-03,42.3677316700,42.7223557900,40.7226697800,41.3235606500
2024-04-08,41.0280405500,41.5107233800,39.5208880400,40.4764030300
2024-04-09,40.3877470000,41.2250539500,39.8164081400,40.6044617400
2024-04-10,40.5847604000,40.8802805000,38.4176130000,39.6982001000
2024-04-11,40.8408778200,43.6680201100,40.8408778200,41.1560992600
2024-04-12,40.9590858600,42.2593743000,40.7817738000,41.4811713700
2024-04-15,41.5205740500,42.8504145000,39.2155172700,40.0035708700
2024-04-16,40.3089416400,41.0772939000,36.5459857000,38.6934317600
2024-04-17,40.2892403000,41.1659499300,39.0776078900,40.9196831800
2024-04-18,40.4074483400,43.3922013500,38.9791011900,41.8456461600
2024-04-19,41.4319180200,41.5698274000,38.3191063000,39.0086532000
2024-04-22,38.6244770700,38.9101465000,36.9597138400,38.1811969200
2024-04-23,38.2501516100,40.8802805000,38.2501516100,39.8952135000
2024-04-24,39.7868561300,41.8554968300,39.0185038700,41.1560992600
2024-04-25,40.9689365300,41.3432619900,39.1761145900,39.3928293300
2024-04-26,38.8805944900,41.7175874500,38.7426851100,41.6584834300
2024-04-29,42.4071343500,43.0375772300,41.9638542000,42.0722115700
2024-04-30,41.8062434800,43.3133959900,41.4023660100,42.4268356900
2024-05-06,42.6041477500,44.3280150000,42.6041477500,44.1310016000
2024-05-07,44.1211509300,44.5053270600,43.2542919700,43.4611560400
2024-05-08,43.3823506800,43.3823506800,41.9146008500,42.0131075500
2024-05-09,42.1116142500,42.3578810000,40.8211764800,40.8802805000
2024-05-10,40.8605791600,41.1659499300,38.7131331000,38.9199971700
2024-05-13,38.6540290800,38.7722371200,37.7083647600,38.2107489300
2024-05-14,38.3683596500,39.8459601500,37.9250795000,38.5358210400
2024-05-15,37.8856768200,38.3585089800,37.5113513600,37.5507540400
2024-05-16,37.4423966700,38.1910475900,37.4423966700,37.8955274900
2024-05-17,37.6295594000,38.9101465000,37.6295594000,38.6146264000
2024-05-20,38.6146264000,39.0382052100,38.1417942400,38.2994049600
2024-05-21,38.1516449100,38.2403009400,37.6492607400,37.6985140900
2024-05-22,37.8068714600,38.5949250600,37.6985140900,38.0235862000
2024-05-23,37.9250795000,37.9250795000,36.4573296700,37.3635913100
2024-05-24,37.0877725500,37.6000073900,36.0534522000,36.1815109100
2024-05-27,35.7579321000,36.3785243100,34.8713718000,36.1421082300
2024-05-28,36.1027055500,36.1815109100,35.2653986000,35.6791267400
2024-05-29,35.4722626700,36.5459857000,35.3836066400,36.2603162700
2024-05-30,36.1519589000,38.6146264000,35.4624120000,38.1614955800
2024-05-31,37.6394100700,39.8952135000,37.4423966700,39.5110373700
2024-06-03,38.8116398000,39.7967068000,37.6295594000,38.0235862000
2024-06-04,37.7379167700,38.0235862000,35.8662894700,36.5459857000
2024-06-05,36.2504656000,36.9991165200,35.9549455000,36.3489723000
2024-06-06,36.6444924000,36.6543430700,34.4773450000,34.6251050500
2024-06-07,35.0782358700,35.4624120000,34.0045128400,34.1818249000
2024-06-11,33.6991420700,35.3836066400,33.5710833600,35.3639053000
2024-06-12,35.3737559700,35.9450948300,34.3492862900,34.6842090700
2024-06-13,34.6940597400,36.0140495200,34.3000329400,35.3934573100
2024-06-14,35.0683852000,35.1668919000,33.2657125900,33.6006353700
2024-06-17,33.4824273300,33.9651101600,33.1179525400,33.5809340300
2024-06-18,33.5809340300,36.0436015300,33.3248166100,35.0683852000
2024-06-19,34.8122677800,35.0289825200,33.7188434100,33.9158568100
2024-06-20,33.5021286700,34.4083903100,32.9997445000,32.9997445000
2024-06-21,32.9012378000,33.2164592400,32.2412429100,32.9209391400
2024-06-24,32.7140750700,32.7140750700,30.8818504500,30.9311038000
2024-06-25,30.9902078200,31.8472161100,30.1430502000,30.3400636000
2024-06-26,30.4681223100,31.2660265800,29.7194713900,31.1970718900
